model_name,split,class_name,precision,recall,f1,ap50,ap50_95
Student YOLOv8s KD v3 fold1,daytime,bike,0.612,0.3982,0.4824,0.4242,0.1996
Student YOLOv8s KD v3 fold1,daytime,bus,0.663,0.466,0.5473,0.4978,0.3855
Student YOLOv8s KD v3 fold1,daytime,car,0.7741,0.7,0.7352,0.7557,0.4856
Student YOLOv8s KD v3 fold1,daytime,motor,0.6504,0.359,0.4626,0.4232,0.201
Student YOLOv8s KD v3 fold1,daytime,person,0.6854,0.5112,0.5856,0.5686,0.2771
Student YOLOv8s KD v3 fold1,daytime,rider,0.6854,0.3759,0.4855,0.4346,0.2358
Student YOLOv8s KD v3 fold1,daytime,traffic light,0.7,0.4853,0.5732,0.5441,0.2249
Student YOLOv8s KD v3 fold1,daytime,traffic sign,0.7006,0.4945,0.5798,0.5531,0.2841
Student YOLOv8s KD v3 fold1,daytime,truck,0.6268,0.5206,0.5688,0.5232,0.3774
Student YOLOv8s KD v3 fold1,night,bike,0.5433,0.4199,0.4737,0.4372,0.1984
Student YOLOv8s KD v3 fold1,night,bus,0.6567,0.4368,0.5247,0.4899,0.3797
Student YOLOv8s KD v3 fold1,night,car,0.7022,0.6799,0.6909,0.7229,0.4122
Student YOLOv8s KD v3 fold1,night,motor,0.5129,0.223,0.3109,0.2664,0.1156
Student YOLOv8s KD v3 fold1,night,person,0.6414,0.4744,0.5454,0.5175,0.2511
Student YOLOv8s KD v3 fold1,night,rider,0.5521,0.2958,0.3852,0.3418,0.1423
Student YOLOv8s KD v3 fold1,night,traffic light,0.6299,0.4895,0.5509,0.4989,0.1652
Student YOLOv8s KD v3 fold1,night,traffic sign,0.6924,0.5799,0.6312,0.6209,0.3163
Student YOLOv8s KD v3 fold1,night,truck,0.6364,0.5301,0.5784,0.5291,0.386
