epoch,time_of_day,class_name,precision,recall,f1,ap50,ap50_95
1,day,bike,0.4864,0.2989,0.3703,0.2872,0.1547
1,day,bus,0.6607,0.3209,0.432,0.3493,0.2822
1,day,car,0.6856,0.6165,0.6492,0.653,0.4112
1,day,motor,1.0,0.0,0.0,0.0602,0.0266
1,day,person,0.5972,0.4539,0.5158,0.4807,0.2372
1,day,rider,0.5283,0.1813,0.27,0.1927,0.1173
1,day,traffic light,0.6067,0.2613,0.3653,0.3001,0.1155
1,day,traffic sign,0.5484,0.2994,0.3873,0.3202,0.1679
1,day,truck,0.5547,0.3891,0.4574,0.3828,0.2759
1,night,bike,0.479,0.3571,0.4092,0.3482,0.2016
1,night,bus,0.5242,0.3333,0.4075,0.3278,0.2594
1,night,car,0.5439,0.5852,0.5638,0.5957,0.3283
1,night,motor,1.0,0.0,0.0,0.0534,0.0231
1,night,person,0.5297,0.4256,0.472,0.4294,0.2015
1,night,rider,0.5729,0.2254,0.3235,0.2731,0.1312
1,night,traffic light,0.4712,0.3122,0.3756,0.2856,0.0828
1,night,traffic sign,0.5688,0.3895,0.4624,0.4069,0.2078
1,night,truck,0.5997,0.3292,0.425,0.3387,0.2329
2,day,bike,0.5439,0.3238,0.406,0.3396,0.1731
2,day,bus,0.6611,0.3913,0.4916,0.4204,0.3365
2,day,car,0.6767,0.6558,0.6661,0.6825,0.4296
2,day,motor,0.5917,0.177,0.2725,0.2271,0.122
2,day,person,0.6023,0.4739,0.5304,0.4999,0.2449
2,day,rider,0.6229,0.2487,0.3555,0.2766,0.1521
2,day,traffic light,0.6103,0.3297,0.4281,0.3732,0.1475
2,day,traffic sign,0.6285,0.3574,0.4557,0.4075,0.2014
2,day,truck,0.6084,0.4048,0.4861,0.423,0.3003
2,night,bike,0.452,0.3214,0.3757,0.3306,0.1878
2,night,bus,0.6582,0.3272,0.4371,0.3691,0.2694
2,night,car,0.6123,0.6125,0.6124,0.6415,0.3586
2,night,motor,0.6062,0.1538,0.2454,0.2254,0.1007
2,night,person,0.6306,0.4122,0.4985,0.4606,0.2156
2,night,rider,0.6107,0.2394,0.344,0.2986,0.1764
