epoch,learning_rate,train_loss,val_day_loss,val_night_loss,avg_val_loss,precision_day,precision_night,recall_day,recall_night,f1_day,f1_night,avg_f1,map50_day,map50_night,map5095_day,map5095_night,avg_map50,avg_map5095
1,1e-05,4.019022343635559,3.159754514694214,3.668443408966065,3.414098961830139,0.6298,0.5877,0.3135,0.3286,0.383,0.3821,0.38255,0.3362,0.3399,0.1987,0.1854,0.3380499999999999,0.19205
2,4e-05,3.4382870849609377,3.034033941268921,3.4626558589935303,3.248344900131226,0.6162,0.598,0.3736,0.3614,0.4547,0.4383,0.4465,0.4055,0.3997,0.2342,0.2151,0.4026,0.22465
3,7e-05,3.336298791503906,3.017887149810791,3.4330215587615966,3.2254543542861938,0.5901,0.5712,0.3998,0.3957,0.4608,0.4456,0.4532,0.4172,0.4041,0.2397,0.2207,0.41065,0.2302
4,0.0001,3.306915453910828,3.033014577865601,3.431521335601807,3.232267956733704,0.5824,0.5614,0.4019,0.3976,0.4614,0.4515,0.45645,0.4154,0.4073,0.2302,0.2129,0.41135,0.22155
5,9.988834393115769e-05,3.2459105154037475,3.0239293937683107,3.433693441390991,3.228811417579651,0.6352,0.558,0.3833,0.3986,0.4615,0.4458,0.45365,0.4174,0.4064,0.234,0.2131,0.4119,0.22355
6,9.955387440773902e-05,3.202969723701477,2.989671329498291,3.3696814670562745,3.179676398277283,0.6092,0.6086,0.3993,0.4025,0.4757,0.4748,0.47525,0.4293,0.4286,0.2434,0.2302,0.42895,0.2368
7,9.899808525182936e-05,3.1683091979980467,2.957816783905029,3.347589635848999,3.1527032098770142,0.6427,0.598,0.3948,0.4137,0.477,0.4787,0.47785,0.4296,0.4329,0.2452,0.233,0.43125,0.2391
8,9.822345875271883e-05,3.142947552108765,2.9657588386535645,3.378028034210205,3.1718934364318847,0.6109,0.5908,0.408,0.4185,0.4858,0.4827,0.48425,0.4456,0.4294,0.25,0.2279,0.4375,0.23895
9,9.723345458039594e-05,3.1160564544677736,2.965050121307373,3.3486466884613035,3.1568484048843386,0.6382,0.5661,0.4121,0.4288,0.4813,0.4689,0.4750999999999999,0.4462,0.4408,0.2516,0.2351,0.4435,0.24335
10,9.603249433382144e-05,3.0961897439956667,2.9508840293884275,3.3221387939453124,3.13651141166687,0.6236,0.6153,0.4153,0.4147,0.4914,0.4847,0.48805,0.4464,0.4434,0.2516,0.2403,0.4449,0.24595
11,9.462594179299406e-05,3.07443927192688,2.935154851913452,3.326954895019531,3.131054873466492,0.6399,0.6092,0.4162,0.4268,0.493,0.4899,0.49145,0.4513,0.4447,0.2535,0.2423,0.4479999999999999,0.2479
12,9.302007896300698e-05,3.0535318128585813,2.9359871215820315,3.320076894760132,3.1280320081710817,0.6358,0.5817,0.4302,0.4353,0.5075,0.4931,0.5003,0.465,0.4598,0.2592,0.2443,0.4624,0.25175
13,9.122207801708804e-05,3.0351002864837646,2.9233035736083983,3.30570311164856,3.114503342628479,0.6228,0.5627,0.4208,0.4472,0.4922,0.4898,0.491,0.4597,0.4541,0.2583,0.2444,0.4569,0.2513499999999999
14,8.923996926393306e-05,3.0171640747070314,2.907565908432007,3.292006893157959,3.099786400794983,0.6362,0.6018,0.4331,0.4394,0.51,0.5033,0.50665,0.469,0.4608,0.2645,0.2457,0.4649,0.2551
15,8.70826052823979e-05,2.998287190055847,2.9084356536865235,3.306610084533691,3.1075228691101078,0.6721,0.6455,0.4163,0.4175,0.506,0.4906,0.4982999999999999,0.469,0.4592,0.2647,0.2454,0.4640999999999999,0.25505
16,8.475962138373213e-05,2.9801022371292114,2.900350015640259,3.2886093673706056,3.094479691505432,0.6387,0.6069,0.4388,0.4284,0.5157,0.4969,0.5063,0.4751,0.4625,0.2708,0.2497,0.4688,0.26025
17,8.228139257794012e-05,2.9654424222946165,2.891585151672363,3.283916767120361,3.087750959396362,0.6398,0.5421,0.4391,0.4424,0.5174,0.4832,0.5003,0.4721,0.4446,0.2683,0.2429,0.45835,0.2556
18,7.965898723646776e-05,2.9502244146347048,2.8924867038726805,3.2866180171966555,3.089552360534668,0.6402,0.593,0.4305,0.4477,0.5081,0.5083,0.5082,0.4711,0.4652,0.2699,0.2494,0.46815,0.25965
19,7.690411765816864e-05,2.9335761968612672,2.895252452850342,3.291947193145752,3.093599822998047,0.6618,0.5917,0.4261,0.4231,0.5115,0.4816,0.4965499999999999,0.4751,0.4555,0.2693,0.2468,0.4653,0.25805
20,7.40290877593342e-05,2.917055228996277,2.903373569488525,3.2840010356903075,3.0936873025894167,0.6315,0.6194,0.4354,0.4315,0.5105,0.5032,0.50685,0.4735,0.4655,0.268,0.2523,0.4695,0.26015
21,7.104673812141677e-05,2.898494653892517,2.8938435459136964,3.2812992038726807,3.087571374893189,0.6466,0.6155,0.4352,0.4233,0.5133,0.4968,0.50505,0.481,0.4648,0.2702,0.2512,0.4729,0.2607
22,6.797038864187564e-05,2.883273767662048,2.8859854869842527,3.284656913757324,3.0853212003707884,0.6776,0.607,0.4345,0.4316,0.5208,0.498,0.5094000000000001,0.4818,0.4567,0.2751,0.2449,0.46925,0.26
23,9.535590473930411e-06,2.7968905672073365,2.8501180324554443,3.2452344036102296,3.047676218032837,0.6662,0.6184,0.4483,0.4519,0.5311,0.5174,0.52425,0.4939,0.4834,0.2814,0.2619,0.48865000000000003,0.27165
24,9.06144701303518e-06,2.7724674936294558,2.8480841102600096,3.2449572887420652,3.0465206995010377,0.6593,0.6219,0.4502,0.4592,0.5317,0.5265,0.5290999999999999,0.4916,0.4862,0.2817,0.2614,0.4889,0.27155
25,8.57968725711074e-06,2.7593601903915403,2.8461351585388184,3.2421385593414307,3.0441368589401243,0.6754,0.6338,0.4441,0.4461,0.5321,0.5206,0.52635,0.4941,0.484,0.2822,0.2634,0.48905,0.27280000000000004
26,8.09246286217602e-06,2.7462226949691773,2.847224836349487,3.248405355453491,3.0478150959014894,0.6505,0.6095,0.4571,0.4586,0.5328,0.519,0.5259,0.4966,0.4843,0.2831,0.2631,0.49045,0.2731
27,7.601949890654309e-06,2.74225426197052,2.8505952682495117,3.2478480739593505,3.049221671104431,0.6539,0.6106,0.456,0.4604,0.5335,0.5218,0.52765,0.495,0.4858,0.2824,0.2635,0.4904,0.27295
28,7.110339092550265e-06,2.7328359642028808,2.848615140914917,3.248342451095581,3.048478796005249,0.643,0.6247,0.4559,0.4451,0.5297,0.5155,0.5226,0.495,0.4833,0.2829,0.2641,0.48915,0.27349999999999997
29,6.619826121028554e-06,2.7291453620910646,2.8488841648101806,3.250745241165161,3.0498147029876708,0.663,0.6209,0.4498,0.4583,0.5317,0.5233,0.5275,0.4944,0.4862,0.2815,0.2648,0.4903,0.27315
30,6.132601726093831e-06,2.7196709281921385,2.849796085357666,3.253327230453491,3.0515616579055784,0.6615,0.6153,0.4538,0.4576,0.5333,0.5208,0.52705,0.4945,0.4874,0.2817,0.2661,0.49095,0.27390000000000003
31,5.650841970169395e-06,2.716659359931946,2.8525574855804443,3.251302001953125,3.0519297437667845,0.6642,0.6392,0.4489,0.442,0.5318,0.5195,0.52565,0.4904,0.4875,0.2808,0.2651,0.48895,0.27295
32,5.176698509274164e-06,2.711762025260925,2.849905242919922,3.255262544631958,3.0525838937759397,0.6707,0.6358,0.4475,0.448,0.5328,0.5224,0.5276000000000001,0.4942,0.4858,0.2832,0.2645,0.49,0.27385000000000004
33,4.7122889832045704e-06,2.705749363517761,2.8521408710479736,3.2563653602600096,3.0542531156539914,0.685,0.622,0.4417,0.4518,0.533,0.52,0.5265,0.4948,0.4851,0.2825,0.2648,0.48995,0.27364999999999995
34,4.259687557641174e-06,2.7026267023086548,2.8503251342773437,3.252480321884155,3.0514027280807494,0.6535,0.6132,0.4523,0.4549,0.5309,0.5189,0.5249,0.4929,0.4822,0.2815,0.2642,0.48755000000000004,0.27285
35,3.820915660421204e-06,2.69720440158844,2.8532295932769776,3.2577578601837156,3.0554937267303464,0.6588,0.6216,0.4512,0.4479,0.5321,0.5182,0.52515,0.4926,0.485,0.2808,0.2656,0.4888,0.2732
36,3.3979329533511465e-06,2.698027177429199,2.8521892490386964,3.2552063560485838,3.05369780254364,0.6617,0.6093,0.4545,0.4531,0.5348,0.5162,0.5255000000000001,0.495,0.4842,0.2819,0.2648,0.48960000000000004,0.27335
37,2.9926285798813894e-06,2.691614099884033,2.851842222213745,3.2578691062927247,3.054855664253235,0.6609,0.6062,0.4556,0.4557,0.5353,0.5178,0.5265500000000001,0.4959,0.4842,0.2818,0.2656,0.49005,0.2737
38,2.606812727732983e-06,2.689978706932068,2.852250379562378,3.25758221244812,3.054916296005249,0.6617,0.5975,0.4536,0.4585,0.534,0.5162,0.5251,0.4955,0.483,0.282,0.2642,0.48924999999999996,0.2731
39,2.2422085441598453e-06,2.6885929986953734,2.8521625270843507,3.258055341720581,3.055108934402466,0.6674,0.6056,0.4495,0.4541,0.5331,0.5158,0.5244500000000001,0.495,0.4851,0.2823,0.2661,0.49005,0.2742
