epoch,time_of_day,class_name,precision,recall,f1,ap50,ap50_95
1,day,bike,0.6012,0.397,0.4782,0.4517,0.2425
1,day,bus,0.7364,0.441,0.5516,0.4843,0.3845
1,day,car,0.7716,0.6938,0.7306,0.7466,0.4823
1,day,motor,0.7931,0.2595,0.3911,0.3883,0.2294
1,day,person,0.6662,0.5718,0.6154,0.6088,0.3205
1,day,rider,0.6004,0.3472,0.4399,0.3518,0.2246
1,day,traffic light,0.7196,0.4069,0.5199,0.4941,0.1993
1,day,traffic sign,0.7151,0.4206,0.5297,0.5057,0.2761
1,day,truck,0.5685,0.542,0.5549,0.5211,0.3832
1,night,bike,0.4602,0.5119,0.4847,0.4584,0.2597
1,night,bus,0.7001,0.3889,0.5,0.4122,0.322
1,night,car,0.6711,0.652,0.6614,0.6948,0.3937
1,night,motor,0.8775,0.25,0.3891,0.3358,0.1627
1,night,person,0.6343,0.5228,0.5732,0.5624,0.2795
1,night,rider,0.6948,0.3944,0.5031,0.4179,0.2258
1,night,traffic light,0.6401,0.4094,0.4994,0.444,0.1353
1,night,traffic sign,0.7319,0.476,0.5769,0.5793,0.3079
1,night,truck,0.6133,0.4807,0.539,0.4638,0.3371
2,day,bike,0.5144,0.427,0.4667,0.4254,0.2302
2,day,bus,0.6782,0.3884,0.4939,0.4324,0.3481
2,day,car,0.7548,0.693,0.7226,0.7383,0.4783
2,day,motor,0.7333,0.3148,0.4405,0.3733,0.1838
2,day,person,0.7498,0.5008,0.6005,0.5906,0.3066
2,day,rider,0.5602,0.3366,0.4205,0.3717,0.2107
2,day,traffic light,0.6494,0.4629,0.5405,0.5051,0.2084
2,day,traffic sign,0.5359,0.5561,0.5458,0.5331,0.2873
2,day,truck,0.621,0.4477,0.5203,0.475,0.3421
2,night,bike,0.4758,0.4643,0.47,0.4092,0.2189
2,night,bus,0.5378,0.4568,0.494,0.388,0.2985
2,night,car,0.7036,0.6429,0.6719,0.6986,0.3963
2,night,motor,0.4911,0.2229,0.3066,0.2309,0.1322
2,night,person,0.7236,0.4247,0.5352,0.5301,0.259
2,night,rider,0.5977,0.3662,0.4542,0.3769,0.1905
2,night,traffic light,0.5976,0.4629,0.5217,0.4672,0.148
2,night,traffic sign,0.6082,0.5883,0.5981,0.5993,0.3127
2,night,truck,0.6704,0.3698,0.4766,0.4155,0.2905
3,day,bike,0.6232,0.3296,0.4312,0.3877,0.1904
3,day,bus,0.7539,0.3499,0.478,0.4214,0.3278
3,day,car,0.742,0.6908,0.7155,0.7326,0.4681
3,day,motor,0.5072,0.2519,0.3366,0.2866,0.141
3,day,person,0.7848,0.4578,0.5783,0.5671,0.2878
3,day,rider,0.6515,0.2798,0.3915,0.332,0.1868
3,day,traffic light,0.6587,0.4695,0.5483,0.5069,0.2061
3,day,traffic sign,0.5703,0.5396,0.5545,0.5278,0.2765
3,day,truck,0.5938,0.4526,0.5137,0.4514,0.3181
3,night,bike,0.5983,0.3725,0.4591,0.4274,0.21
3,night,bus,0.5854,0.3661,0.4505,0.3819,0.2937
3,night,car,0.6711,0.6577,0.6643,0.6931,0.3913
3,night,motor,0.5711,0.3073,0.3996,0.2846,0.1192
3,night,person,0.7293,0.3968,0.514,0.5066,0.2404
3,night,rider,0.6159,0.3239,0.4246,0.3429,0.1726
3,night,traffic light,0.5704,0.5022,0.5341,0.4594,0.1423
3,night,traffic sign,0.5956,0.5968,0.5962,0.5943,0.3076
3,night,truck,0.5656,0.4268,0.4865,0.4028,0.279
4,day,bike,0.8674,0.1862,0.3066,0.3433,0.1791
4,day,bus,0.5297,0.3954,0.4528,0.3731,0.2886
