epoch,learning_rate,train_loss,val_day_loss,val_night_loss,avg_val_loss,precision_day,precision_night,recall_day,recall_night,f1_day,f1_night,avg_f1,map50_day,map50_night,map5095_day,map5095_night,avg_map50,avg_map5095
1,1e-05,3.351845429992676,2.798477367401123,3.300135274887085,3.049306321144104,0.6858,0.6693,0.4533,0.454,0.5346,0.5252,0.5299,0.5058,0.4854,0.3047,0.2693,0.4956,0.287
2,4e-05,3.203327835273743,2.84175479888916,3.3172403583526613,3.0794975786209107,0.6441,0.6006,0.4586,0.4443,0.5279,0.5031,0.5155000000000001,0.4939,0.4573,0.2884,0.2496,0.4756,0.269
3,7e-05,3.210780099105835,2.894343324661255,3.354196647644043,3.124269986152649,0.6539,0.6114,0.4246,0.4389,0.5053,0.5032,0.50425,0.4682,0.4548,0.2669,0.2396,0.4615,0.25325
4,0.0001,3.23859356765747,2.9435153732299804,3.377952367782593,3.160733870506286,0.6235,0.5386,0.4206,0.4204,0.4824,0.4516,0.4669999999999999,0.445,0.421,0.2483,0.2239,0.433,0.2360999999999999
5,9.988834393115769e-05,3.1722354644775392,2.9017524394989014,3.345876537322998,3.1238144884109498,0.6691,0.5446,0.4327,0.4556,0.5152,0.4884,0.5018,0.4779,0.4459,0.2752,0.2385,0.4619,0.25685
6,9.955387440773902e-05,3.118050197601318,2.8966933002471924,3.3040242099761965,3.1003587551116945,0.6383,0.5806,0.4354,0.4396,0.5083,0.4957,0.502,0.4643,0.4596,0.2665,0.2454,0.4619499999999999,0.25595
7,9.899808525182936e-05,3.0744893783569336,2.8654479961395265,3.30435818862915,3.084903092384338,0.6501,0.6041,0.458,0.4528,0.5353,0.5156,0.52545,0.4966,0.4775,0.285,0.2549,0.48705,0.26995
8,9.822345875271883e-05,3.042323405456543,2.8733404178619386,3.3078615703582765,3.090600994110108,0.6474,0.6207,0.4363,0.4259,0.5096,0.487,0.4983,0.4755,0.4512,0.2741,0.2438,0.46335,0.25895
9,9.723345458039594e-05,3.0125203817367554,2.833797971725464,3.271444133758545,3.0526210527420043,0.6954,0.6012,0.453,0.4594,0.5361,0.5087,0.5224,0.5025,0.482,0.2904,0.2592,0.4922499999999999,0.2748
10,9.603249433382144e-05,2.9907609884262083,2.831773286819458,3.27539754486084,3.053585415840149,0.6587,0.5971,0.461,0.4651,0.5342,0.5174,0.5258,0.4951,0.478,0.2844,0.2587,0.48655,0.2715499999999999
11,9.462594179299406e-05,2.9616868127822875,2.8285671043396,3.260934726715088,3.044750915527344,0.6738,0.5858,0.4724,0.4817,0.5509,0.5258,0.53835,0.5143,0.486,0.2949,0.2612,0.50015,0.27805
12,9.302007896300698e-05,2.937274224853516,2.822229431152344,3.248233875274658,3.0352316532135006,0.6752,0.6146,0.4764,0.4713,0.5549,0.5274,0.54115,0.521,0.4933,0.2988,0.2663,0.50715,0.2825499999999999
13,9.122207801708804e-05,2.917037851524353,2.816786041259766,3.2595499210357666,3.038167981147766,0.6973,0.6549,0.4729,0.4749,0.5519,0.544,0.5479499999999999,0.5178,0.5015,0.2985,0.2664,0.5096499999999999,0.28245
14,8.923996926393306e-05,2.895275521087646,2.8018194999694823,3.234400686264038,3.01811009311676,0.651,0.6485,0.4736,0.4901,0.5384,0.5419,0.54015,0.5124,0.5057,0.3,0.2773,0.50905,0.2886499999999999
